0,1,1,1,1,1,1,1,1,51,52,1,1,1,1,51,52,1,1,1,1,1,1,1,1,2
8,-1,-1,-1,-1,-1,-1,-1,-1,19,21,-1,-1,-1,-1,19,21,-1,-1,-1,-1,-1,-1,-1,-1,10
8,-1,3,5,-1,3,5,-1,-1,-1,-1,-1,3,5,-1,-1,-1,-1,-1,3,5,-1,3,5,-1,10
8,-1,11,31,4,30,13,-1,3,4,4,4,30,31,4,4,4,5,-1,11,31,4,30,13,-1,10
8,-1,19,20,20,20,21,-1,19,20,20,20,20,20,20,20,20,21,-1,19,20,20,20,21,-1,10
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
8,-1,3,4,4,4,4,4,5,-1,3,4,4,4,4,5,-1,3,4,4,4,4,4,5,-1,10
8,-1,19,20,20,20,20,20,21,-1,19,20,20,20,20,21,-1,19,20,20,20,20,20,21,-1,10
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
8,-1,3,4,4,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,4,5,-1,10
8,-1,19,20,20,20,22,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,23,20,20,20,21,-1,10
8,-1,-1,-1,-1,-1,11,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,13,-1,-1,-1,-1,-1,10
8,-1,-1,-1,3,4,30,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,31,4,5,-1,-1,-1,10
16,17,27,-1,19,20,20,21,-1,25,26,28,-1,-1,24,26,27,-1,19,20,20,21,-1,25,26,18
-1,-1,8,-1,-1,-1,-1,-1,-1,33,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,33,-1,-1
-1,-1,35,-1,3,4,4,5,-1,33,-1,-1,-1,-1,-1,-1,35,-1,3,4,4,5,-1,33,-1,-1
0,1,43,-1,19,20,22,13,-1,41,1,1,51,52,1,1,43,-1,11,23,20,21,-1,41,1,2
8,-1,-1,-1,-1,-1,11,13,-1,-1,-1,-1,11,13,-1,-1,-1,-1,11,13,-1,-1,-1,-1,-1,10
8,-1,3,4,4,4,30,13,-1,3,5,-1,11,13,-1,3,5,-1,11,31,4,4,4,5,-1,10
8,-1,19,20,20,20,20,21,-1,19,21,-1,19,21,-1,19,21,-1,19,20,20,20,20,21,-1,10
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
8,-1,3,4,4,4,4,4,5,-1,3,4,4,4,4,5,-1,3,4,4,4,4,4,5,-1,10
8,-1,19,20,20,20,20,20,21,-1,19,20,20,20,20,21,-1,19,20,20,20,20,20,21,-1,10
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
8,-1,3,4,4,4,5,-1,3,4,4,4,4,4,4,4,4,5,-1,3,4,4,4,5,-1,10
8,-1,11,14,20,15,13,-1,19,20,20,20,22,23,20,20,20,21,-1,11,14,20,15,13,-1,10
8,-1,11,13,-1,11,13,-1,-1,-1,-1,-1,11,13,-1,-1,-1,-1,-1,11,13,-1,11,13,-1,10
8,-1,19,21,-1,19,21,-1,-1,3,5,-1,19,21,-1,3,5,-1,-1,19,21,-1,19,21,-1,10
8,-1,-1,-1,-1,-1,-1,-1,-1,11,13,-1,-1,-1,-1,11,13,-1,-1,-1,-1,-1,-1,-1,-1,10
16,17,17,17,17,17,17,17,17,59,60,17,17,17,17,59,60,17,17,17,17,17,17,17,17,18
